"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000148344.11",73.98113236433,-4.20317493562192,0.712665745122453,-5.89782091308417,3.68333424151313e-09,7.91197129947096e-07,"PTGES","9536"
"ENSG00000125730.17",71.3087177750654,-3.76894191332927,0.641484493248128,-5.87534375810926,4.21966788194260e-09,8.96104015656173e-07,"C3","718"
"ENSG00000119917.15",672.171275519569,-2.07775665812218,0.353889849871357,-5.87119596359564,4.32662476768433e-09,9.08493973690841e-07,"IFIT3","3437"
"ENSG00000244675.2",27.8408331638599,-8.11892026494792,1.38613070518699,-5.857254467105,4.70581800435929e-09,9.77136965171849e-07,NA,NA
"ENSG00000127124.16",52.2084482964353,-4.18467341569834,0.715814977959181,-5.84602661937729,5.03453515560817e-09,1.03390541745061e-06,"HIVEP3","59269"
"ENSG00000211445.13",651.068386901136,-2.74301492105967,0.469977660915616,-5.83647936737184,5.33153611442704e-09,1.08299724898274e-06,"GPX3","2878"
"ENSG00000138207.15",45.2223792454329,-4.75988757989142,0.819148864568793,-5.81077235869339,6.21852741758258e-09,1.24958968150305e-06,"RBP4","5950"
"ENSG00000113303.12",129.035614684349,3.46872298085074,0.597903982449676,5.80147161194513,6.57354269397252e-09,1.30687623260594e-06,"BTNL8","79908"
"ENSG00000268104.3",248.91727819689,-3.02617997716208,0.523600030450385,-5.7795641733616,7.48943831450233e-09,1.47329077075178e-06,"SLC6A14","11254"
"ENSG00000107242.20",991.57261151699,1.64419832895841,0.284794778585727,5.77327413488195,7.77457991697904e-09,1.51345155717192e-06,"PIP5K1B","8395"
"ENSG00000145113.22",42.541799337992,-6.85678313386086,1.18841489948078,-5.76968795734268,7.94184534634169e-09,1.53007428693231e-06,"MUC4","4585"
"ENSG00000125841.13",35.5795361149008,-4.38840126124829,0.761098257448722,-5.76588005333064,8.12328202643333e-09,1.54906014806108e-06,"NRSN2","80023"
"ENSG00000066468.24",70.9907828530927,-4.64427113439777,0.807549976210241,-5.75106342791677,8.86838328924516e-09,1.6740641101961e-06,"FGFR2","2263"
"ENSG00000146166.17",27.3511796224019,-8.09375064160953,1.41960821055002,-5.70139745703053,1.1882920926535e-08,2.22068026275087e-06,"LGSN","51557"
"ENSG00000152766.6",318.673248294152,1.96914435228313,0.345952346066755,5.69195259020778,1.25594731380074e-08,2.32387558418893e-06,"ANKRD22","118932"
"ENSG00000184584.13",157.408996320122,-2.78091167036562,0.489696402280333,-5.67884848125481,1.35604531455337e-08,2.48448772925229e-06,"STING1","340061"
"ENSG00000141968.8",79.8080661136659,-3.58110665648666,0.631099112767694,-5.67439659482592,1.39178355867649e-08,2.52520884898508e-06,"VAV1","7409"
"ENSG00000182379.10",128.539976858603,-2.30624088686547,0.408441900204879,-5.64643560248994,1.63808484064303e-08,2.94351245210933e-06,"NXPH4","11247"
"ENSG00000025708.14",790.373162041752,-1.98408093397695,0.351536421834851,-5.64402665197819,1.66118341259915e-08,2.95659005853837e-06,"TYMP","1890"
"ENSG00000101144.13",153.357779402462,-3.42715489244871,0.610369875666575,-5.61488210522509,1.96696308906007e-08,3.46779303852401e-06,"BMP7","655"
"ENSG00000124466.9",290.311920499747,-2.92327815552841,0.520874377572577,-5.61225178545299,1.99710560568027e-08,3.48802893074325e-06,"LYPD3","27076"
"ENSG00000165186.12",84.6625982317497,-2.45177042706085,0.439295921228894,-5.58113633334501,2.38952243951945e-08,4.09944980004177e-06,"PTCHD1","139411"
"ENSG00000173581.8",32.716763243286,-3.81936833039337,0.684348906762776,-5.58102496058684,2.39105323311511e-08,4.09944980004177e-06,"CCDC106","29903"
"ENSG00000233381.4",31.5244843462019,-4.79361901469297,0.861430321797486,-5.56472055068884,2.62572845625876e-08,4.4608739445967e-06,NA,NA
"ENSG00000205572.10",351.170951038828,2.18309194296436,0.395122523748977,5.52510123252626,3.29295685645024e-08,5.54403403003081e-06,"SERF1A","8293"
"ENSG00000138646.9",47.9077257896708,-3.13956725079052,0.569275141117743,-5.51502608145885,3.48728238786573e-08,5.8187797557531e-06,"HERC5","51191"
"ENSG00000183305.14",148.285849512868,-6.31874379022307,1.15084445699235,-5.49052806557078,4.00733804134699e-08,6.62735693068075e-06,"MAGEA2B","266740"
"ENSG00000135114.13",540.553389729546,-1.98864716853434,0.362729035048466,-5.48245929159938,4.19453539697986e-08,6.87609451743505e-06,"OASL","8638"
"ENSG00000076641.4",2608.27189737925,1.60945435906493,0.293742432123749,5.47913472162882,4.27410842444113e-08,6.94561202051789e-06,"PAG1","55824"
"ENSG00000180730.5",58.294423630838,-3.83089955154236,0.702728743222077,-5.45146272796147,4.99571931235486e-08,8.04827607838686e-06,"SHISA2","387914"
"ENSG00000268916.6",73.3825448830596,-9.51786140709246,1.74739230572156,-5.44689442429599,5.12568659039941e-08,8.18707957276787e-06,"CSAG3","389903"
"ENSG00000132530.17",476.089392999616,-1.81580102034619,0.334350541304515,-5.43083020970024,5.60924839652003e-08,8.8835283079802e-06,"XAF1","54739"
"ENSG00000185038.15",38.1302548975764,-7.60470727154255,1.40341572784474,-5.4187131586599,6.00295383885471e-08,9.42715977651402e-06,"MROH2A","339766"
"ENSG00000106571.15",28.0163663186776,-7.15670188746566,1.32575910348351,-5.39819177455465,6.73158924996263e-08,1.04833283252751e-05,"GLI3","2737"
"ENSG00000080573.7",41.6911430047423,-4.7835850864119,0.887642645011732,-5.38908885607752,7.08157888030708e-08,1.09372352161305e-05,"COL5A3","50509"
"ENSG00000224271.7",35.136712596337,-4.05020039833648,0.752735420044134,-5.38064277365746,7.42203471113738e-08,1.13690971050603e-05,"LOC284930","284930"
"ENSG00000138061.12",105.640135815065,-3.07654631421511,0.573050186158306,-5.36872055629208,7.92971744395842e-08,1.19660276922533e-05,"CYP1B1","1545"
"ENSG00000142623.11",251.991364475395,-5.78190558341734,1.07700746769367,-5.36849163710892,7.93978721018522e-08,1.19660276922533e-05,"PADI1","29943"
"ENSG00000143382.16",371.165435620155,-2.74177943154521,0.51127499615931,-5.36263156254739,8.20181900215609e-08,1.2181768154916e-05,"ADAMTSL4","54507"
"ENSG00000133321.11",197.961066247754,-2.70993159404954,0.505359969362976,-5.36237881576869,8.21330686814759e-08,1.2181768154916e-05,"PLAAT4","5920"
"ENSG00000146678.10",32.6733451161182,-6.47072877516977,1.20810428478615,-5.35610117160968,8.50369053320791e-08,1.25131471405189e-05,"IGFBP1","3484"
"ENSG00000196335.13",45.2157314155898,-3.44221817143773,0.643361410834233,-5.35036468378524,8.77771655428944e-08,1.28154661692626e-05,"STK31","56164"
"ENSG00000183844.17",45.0250884349186,-3.10377873877976,0.582089520663977,-5.33213299431906,9.70658052667633e-08,1.40617501459323e-05,"FAM3B","54097"
"ENSG00000172794.20",56.8403944983759,-3.65895679283764,0.686644113015947,-5.32875287718758,9.88894401045743e-08,1.4215737359033e-05,"RAB37","326624"
"ENSG00000154065.17",53.4181943740648,2.89917508043077,0.544351592016001,5.3259237649948,1.00441253985555e-07,1.43285965990996e-05,"ANKRD29","147463"
