"control_S0_L001_quant","control_S64_L001_quant","control_S40_L001_quant","case_S110_L001_quant","case_S65_L001_quant","case_S52_L001_quant"
"ENSG00000011275.19",396,308,350,520,538,322
"ENSG00000011295.16",1099,1171,1243,1324,1227,1144
"ENSG00000011304.22",3849,3413,3601,8083,5343,2807
"ENSG00000011332.22",1,4,4,4,10,10
"ENSG00000011347.10",11,23,31,42,32,52
"ENSG00000011376.12",248,313,227,456,441,241
"ENSG00000011405.14",1158,1426,1472,521,1002,1842
"ENSG00000011422.12",665,821,717,1483,1043,688
"ENSG00000011426.11",786,1430,1463,1824,1864,1926
"ENSG00000011451.21",227,173,256,516,401,233
"ENSG00000011454.18",642,681,553,963,789,513
"ENSG00000011465.18",2,4,1,0,6,1
"ENSG00000011478.13",278,284,430,337,415,337
"ENSG00000011485.15",682,796,613,1437,1166,797
"ENSG00000011523.14",88,128,120,129,111,180
"ENSG00000011566.15",999,909,1047,604,732,1395
"ENSG00000011590.14",0,0,0,0,17,5
"ENSG00000011600.12",0,0,0,0,0,0
"ENSG00000011638.11",622,546,517,860,459,427
"ENSG00000011677.13",2,0,0,20,3,16
"ENSG00000012048.23",134,209,268,347,315,223
"ENSG00000012061.16",709,843,718,2039,1265,994
"ENSG00000012124.17",0,0,0,0,1,0
"ENSG00000012171.20",1445,884,1130,1766,1660,1050
"ENSG00000012174.12",424,529,394,336,426,620
"ENSG00000012211.13",144,100,130,322,147,143
"ENSG00000012223.13",1,0,0,0,0,0
"ENSG00000012232.9",289,369,228,757,461,274
"ENSG00000012504.15",19,68,36,40,44,144
"ENSG00000012660.14",3,10,6,20,1111,7
"ENSG00000012779.12",237,268,243,579,296,234
"ENSG00000012817.16",1,4,4,2,3,2
"ENSG00000012822.16",669,511,554,846,509,467
"ENSG00000012963.15",309,374,395,552,438,479
"ENSG00000012983.12",776,1010,1124,824,772,1347
"ENSG00000013016.16",0,0,0,1,2,1
"ENSG00000013275.8",1309,967,1248,3473,2117,1121
"ENSG00000013288.9",444,488,347,1118,469,326
"ENSG00000013293.6",0,1,5,0,9,4
"ENSG00000013297.12",0,1,1,0,2,1
"ENSG00000013306.16",2366,2482,2330,4785,3696,2089
"ENSG00000013364.19",3398,1991,2323,6130,3111,1821
"ENSG00000013374.17",653,587,706,1148,751,726
